PC1,income
1096.5007922659236,0
-1077.4961793878288,0
-1077.4962149666073,0
-1077.4962035380618,0
-1077.496184265224,0
-1077.496170898542,0
-1077.4962516245678,0
-1077.4961810848388,1
13006.482994093807,1
4100.496329168694,1
-1077.4961646677964,1
-1077.4961768877188,1
-1077.4962124125668,0
-1077.4961935386057,0
-1077.496191532302,1
-1077.496237031493,0
-1077.4962297498073,0
-1077.4962236818064,0
-1077.4962085009488,0
-1077.4961659211501,1
-1077.4961354087388,1
-1077.4962208244579,0
-1077.4962319423369,0
-1081.0291828926418,0
-1077.4961966224769,0
-1077.4961557864049,1
-1077.4962343612476,0
-1077.4961636915823,1
-1077.4961763731728,0
-1077.4961949719163,0
-1077.496194790789,0
-1077.4962226732014,0
-1079.9322347237533,0
-1077.4962073708396,0
-1077.4962334068832,0
-1077.4962175473172,0
-1077.4962252096907,0
-1077.4962430312175,0
-1077.4962064086578,1
-1077.4961652457412,0
-1077.4962335427124,0
-1077.496152726124,0
-1077.4961776629316,0
-1077.4962056770353,0
-1077.496232543477,0
-1077.49615230426,1
-1077.4961934907574,0
-1077.4961731047401,0
-1077.496187994271,0
-1077.4962034484834,0
-1077.496209302802,0
-1077.4962476324288,0
-1080.7868813812179,1
-1077.4961518290918,1
-1077.4961782261232,0
-1077.4961958701228,1
-1077.4962335138216,0
-1077.496195673854,0
-1077.4961990571176,0
3935.4965320362394,0
1329.5004501735373,0
-1077.4962464134892,0
-1077.4961953071693,0
-1077.4961468065596,1
-1077.4961986192427,0
-1077.4962095395779,0
-1077.4962189356286,0
-1077.49619472182,1
-1077.496170429226,1
-1077.49621887147,0
-1077.4962289950188,0
-1077.4961943384383,0
-1077.4961532650148,1
-1077.496222592072,0
-1077.4961803012568,0
-1077.496230199534,0
-1077.4961847102504,0
-1077.4962298262985,0
-1077.4962647918862,0
-1077.4962401357457,0
-1077.4962410222445,0
-1077.4961626739353,0
-1077.4962005941798,0
-1077.4961789159481,0
13266.48256897877,1
-1077.4962061299177,0
-1077.4961919019747,1
-1077.4961617250967,0
-1077.496247377877,0
-1077.496153960406,1
-1077.4961683531253,0
-1077.4962113370595,0
-1077.4962325825175,0
-1080.2177521150088,0
-1077.4961771908258,1
-1077.4962079552283,0
-1080.786869911443,1
-1077.4961929284589,1
-1077.4961802854991,0
-1077.4962251061615,0
-1077.4961368866934,1
13946.481612537773,1
-1077.496157535356,0
-1077.4962284408416,0
-1077.4962265404579,0
6610.492539235113,1
33017.452925240235,0
-1077.496236947664,0
-1077.4962261103856,0
-1077.4962045750055,0
-1077.496195860416,0
-1077.4961585024857,1
-1080.7609747735585,1
2986.4979408431477,0
-1077.4962251555658,0
-1077.4962060554758,0
-1077.496167185715,0
-1077.4961787194013,1
-1077.4961676233306,0
-1077.4962301573034,0
-1077.4962290965634,0
-1077.496154755202,0
-1077.4961940439118,0
-1077.4961684875666,1
-1077.4962333048106,0
-1077.4961645113501,1
-1080.470372528696,0
-1077.4961916034488,1
-1077.4962069290004,0
-1077.4962070182423,0
-1077.4961896761135,0
-1080.5447620809516,0
3308.4974736005634,0
-1077.4961678066513,0
-1077.4961898712402,0
-1077.4961644013451,1
-1077.4961834364437,0
-1077.4962080074677,0
-1077.496241925394,0
-1077.496188039057,1
-1077.4961809954982,0
-1077.496223231048,0
-1077.4962365381562,0
-1080.2021574339522,1
-1077.4961841216675,0
-1077.496237335571,0
-1077.4962263654684,0
-1077.4962343530779,0
-1081.2661920770568,0
-1077.4962037324076,0
-1077.4961994050218,0
-1077.4962259676124,0
-1077.4961915162057,0
-1077.496237047266,0
-1077.4961922885782,1
-1077.496190587208,0
-1077.4961990052243,0
-1080.6381664264861,0
-1077.4962050784654,0
-1077.49617416813,0
-1077.4962500274146,0
-1077.4962320097904,0
-1077.4961687927007,0
-1077.4962273625404,0
-1077.4961608533256,1
-1077.496213263112,0
-1077.4961889998658,0
-1077.4961649635163,0
-1077.4962660082826,0
-1077.4961903393114,0
-1080.921928581059,0
-1077.4962127103688,0
-1080.9166939761149,1
-1077.4961884810164,0
-1077.4961779224104,1
-1077.4962380259933,0
-1077.496234250804,0
-1077.4962236304862,0
-1077.496259854434,0
-1077.4961547676637,0
-1077.496193262539,1
-1077.4962074084933,0
-1077.4962152382866,0
-1077.4962363086102,1
-1077.4961976403736,1
-1077.4962127576316,0
-1077.4961780485835,0
-1077.496159549082,0
-1077.496165898173,0
-1077.4961656492362,1
-1077.4962226801445,0
-1077.4962102751535,0
-1077.4961739935177,0
-1077.496184028551,0
-1077.49618557926,0
-1077.4962549851334,0
-1077.4962094791968,0
13006.483006483033,1
6220.493161078658,1
-1077.4962244633105,0
-1080.7419553326947,0
-1077.4962311731242,0
-1077.4961502706774,1
-1079.8146137012168,0
-1077.4962213314689,0
-1077.4962472673399,0
6220.493145996997,1
-1077.4962005385926,0
13946.481575548712,1
-1077.496272154575,0
-1077.4962022451057,0
-1077.496208739231,1
-1077.4962167284968,0
-1077.4961870053025,0
-1077.4962158310102,1
-1077.496169867885,1
-1077.4961810343393,0
